Question,round
"Kalau lu berdoa, jempol mana yang di atas?",1
Lirik lagu rohani yang lu paling suka?,1
Apa makanan teraneh yang lu pernah coba?,1
"Lu lebih mirip ama yang mana: keju, susu, mentega? Kenapa?",1
"Optional: Gambarkan satu stiker pentol yang menggambarkan teman lu. (Kasih contoh, dan kasih input gambar)",1
Hal anti-mainstream yang lu paling suka?,1
"Kalau lu dapat kesempatan reinkarnasi, mau jadi apa/siapa?",1
Lu dapat selendang dari seorang Ratu terkenal di dunia. Lu mau pakaikan ke siapa?,1
"Kalau lu jadi pembuat soda terkenal sampe Coca-Cola bisa bangkrut, apa tagline soda lu?",1
Lu dapat kesempatan memilih makanan apapun di dunia ini sebelum kiamat. Makanan apa yang lu pilih?,1
Hal terusil yang lu pernah lakukan?,1
"Kalo lo bisa ganti nama, lo mau ganti jadi apa?",1
Secret talent lo?,1
Berapa lama waktu yang lo butuhkan buat mandi?,1
"Pernah salah potong rambut ga? Kalo pernah, kayak apa?",1
Pekerjaan rumah apa yang lo ga keberatan buat lakuin?,1
Nama orang paling aneh yang pernah lo temuin?,1
Genre film favorite lo?,1
Apa fast food favorite lo?,1
bubur diaduk/di campur,1
apartement ato rumah,1
the person that you grateful to have,1
"if you could change 1 thing, what it would be",1
travel dreams?,1
would you like to be different? why?,1
what is one thing that many people don't know about you?,1
reveal 1 lie and 1 truth about you,1
salad or steak?,1
movie that describe you,1
what does a perfect day look like to you,1
dulu pas SMA jurusan IPA atau IPS? ,1
series/film yang kudu mesti wajib orang lain nonton sekarang juga,1
"kalo lo essetial oil, wangi lo apa, dan filosofinya apa?",1
"kalo lo jadi anak band dan lo punya wild card to join any band, lo mau join apa dan kenapa?",1
"kalo kehidupan ini adalah anime, lo pengen jadi siapa dan kenapa?",1
"kalo lo cuma boleh makan 1 menu untuk seumur hidup lo, lo mau makan apa?",1
"kalo lu lagi main dating app trus dapat super like dari anya geraldine, apa yang akan lo lakukan?",1
"kalo tiba2 masuk ruang audisi indonesian idol, lo bakal nyanyi apa??",1
"kalo lo atlet bola, lo mau di kasi nomer punggung berapa?? ",1
Bangun pagi/ tidur mlm?,1
